epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,116.368,1.04132,1.79853,1.24164,0.80084,0.72115,0.80509,0.57844,1.00802,0.97574,1.3288,0.000415088,0.000415088,0.000415088
2,209.983,1.06365,1.08896,1.23451,0.73061,0.69825,0.78906,0.55261,1.03403,1.27098,1.40009,0.000831552,0.000831552,0.000831552
3,302.658,1.03884,1.00163,1.21923,0.84854,0.76719,0.84327,0.55543,1.14181,0.98971,1.44396,0.0012472,0.0012472,0.0012472
4,394.148,1.0278,0.92397,1.21235,0.79568,0.67404,0.78025,0.55497,1.04085,1.11598,1.3546,0.00124725,0.00124725,0.00124725
5,498.238,0.99079,0.84939,1.19847,0.84954,0.79799,0.87851,0.63945,0.9263,0.82333,1.28476,0.00124512,0.00124512,0.00124512
6,605.161,0.96589,0.80911,1.18365,0.81293,0.8009,0.87101,0.65683,0.89734,0.80105,1.23331,0.00124238,0.00124238,0.00124238
7,708.601,0.93375,0.75539,1.15925,0.87925,0.81588,0.90261,0.68202,0.86601,0.71114,1.23141,0.00123904,0.00123904,0.00123904
8,806.556,0.93534,0.73486,1.15511,0.89902,0.79664,0.90735,0.68609,0.85251,0.75698,1.20806,0.0012351,0.0012351,0.0012351
9,897.419,0.92579,0.72227,1.15015,0.92978,0.86836,0.93983,0.72881,0.84095,0.59016,1.2099,0.00123056,0.00123056,0.00123056
10,987.888,0.89655,0.68104,1.12685,0.88723,0.88406,0.9386,0.71967,0.84059,0.58563,1.20336,0.00122543,0.00122543,0.00122543
11,1079.49,0.89499,0.68933,1.13648,0.90354,0.88586,0.94164,0.71721,0.85944,0.58747,1.24535,0.00121972,0.00121972,0.00121972
12,1170.26,0.8782,0.66563,1.12822,0.91306,0.91549,0.95296,0.73293,0.81903,0.53911,1.18377,0.00121342,0.00121342,0.00121342
13,1261.05,0.87183,0.63076,1.11629,0.92349,0.89452,0.95149,0.74251,0.81371,0.51566,1.17154,0.00120655,0.00120655,0.00120655
14,1352.54,0.871,0.63375,1.11494,0.92267,0.91154,0.95383,0.75561,0.82017,0.51178,1.17828,0.00119911,0.00119911,0.00119911
15,1444.79,0.84057,0.60642,1.09995,0.90285,0.90583,0.94488,0.74597,0.8149,0.53409,1.17507,0.00119111,0.00119111,0.00119111
16,1536.97,0.85875,0.62096,1.11118,0.87913,0.87644,0.93151,0.72384,0.82623,0.61054,1.18512,0.00118256,0.00118256,0.00118256
17,1628.69,0.82466,0.58236,1.09248,0.93365,0.9133,0.9599,0.75946,0.7653,0.48618,1.14796,0.00117346,0.00117346,0.00117346
18,1721.33,0.84851,0.58966,1.09855,0.93512,0.91914,0.95785,0.74166,0.82757,0.49333,1.20959,0.00116383,0.00116383,0.00116383
19,1813.52,0.84032,0.58614,1.09472,0.93702,0.90634,0.95334,0.75853,0.78572,0.47138,1.17381,0.00115368,0.00115368,0.00115368
20,1906.84,0.82684,0.56875,1.08674,0.91667,0.90346,0.9497,0.75302,0.81398,0.50215,1.17041,0.00114301,0.00114301,0.00114301
21,2000.61,0.82139,0.5697,1.08839,0.95721,0.91118,0.95571,0.76003,0.79102,0.46194,1.16476,0.00113183,0.00113183,0.00113183
22,2092.11,0.81548,0.56154,1.07864,0.9417,0.92234,0.95732,0.75044,0.81273,0.48012,1.14972,0.00112016,0.00112016,0.00112016
23,2221.78,0.81152,0.55835,1.07892,0.92982,0.92186,0.94976,0.75766,0.8075,0.46488,1.15736,0.00110801,0.00110801,0.00110801
24,2406.85,0.80752,0.54599,1.07595,0.94202,0.9042,0.95022,0.75356,0.81063,0.48301,1.16421,0.00109538,0.00109538,0.00109538
